gene_name,H,L,GO_Term
PGK1,2008.466667,3364.356667,Kinase activity
PAU23,362.98,188.21,Cell wall
SGF29,41.52333333,78.51,Methylated histone binding
SRL1,297,192.5733333,Cell wall
CMK2,45.28333333,114.2366667,Protein serine/threonine kinase activity
CWP2,5230.8,3494.743333,Cell wall
DDI2,8980.003333,5422.42,Lyase activity
DDI3,4229.92,2756.06,Lyase activity
MF(ALPHA)2,566.04,71.56,Extracellular region
CWP1,243.87,138.9466667,Cell wall
STE3,67.47,30.34,Sexual reproduction
VHS1,31.51333333,50.57666667,Protein serine/threonine kinase activity
AGA1,31.1,16.53,Cell wall
YPK2,65.16333333,133.05,Protein serine/threonine kinase activity
PHO5,151.6433333,85.28666667,External encapsulating structure
MF(ALPHA)1,1394.316667,440.95,Extracellular region
SAG1,208.4333333,75.52333333,Cell wall
AFB1,231.09,152.32,External encapsulating structure
PHO3,182.47,116.5,Cell wall
,,,
,,,
,,,一就是这样。一个
